"filename", "language", "Python", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\asgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\settings.py", "Python", 107, 0, 0, 0, 0, 54, 42, 203
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\urls.py", "Python", 9, 0, 0, 0, 0, 15, 2, 26
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\wsgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\App.css", "CSS", 0, 0, -33, 0, 0, 0, -6, -39
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\App.js", "JavaScript", 0, -24, 0, 0, 0, -36, -7, -67
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\App.test.js", "JavaScript", 0, -7, 0, 0, 0, 0, -2, -9
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\components\Events.js", "JavaScript", 0, -268, 0, 0, 0, -22, -50, -340
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\components\Home.js", "JavaScript", 0, -61, 0, 0, 0, -6, -13, -80
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\components\Registration.js", "JavaScript", 0, -72, 0, 0, 0, -2, -5, -79
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\data\constants.js", "JavaScript", 0, -211, 0, 0, 0, 0, 0, -211
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\data_model.json", "JSON", 0, 0, 0, -190, 0, -7, -21, -218
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\index.css", "CSS", 0, 0, -12, 0, 0, 0, -2, -14
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\index.js", "JavaScript", 0, -13, 0, 0, 0, -13, -5, -31
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\logo.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Events.js", "JavaScript", 0, -217, 0, 0, 0, -21, -42, -280
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Home.js", "JavaScript", 0, -34, 0, 0, 0, 0, -9, -43
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Login.js", "JavaScript", 0, -64, 0, 0, 0, 0, -13, -77
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Register.js", "JavaScript", 0, -85, 0, 0, 0, -4, -15, -104
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\reportWebVitals.js", "JavaScript", 0, -12, 0, 0, 0, 0, -2, -14
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\setupTests.js", "JavaScript", 0, -1, 0, 0, 0, -4, -1, -6
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\styles\theme\index.js", "JavaScript", 0, -13, 0, 0, 0, 0, -2, -15
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\utils\api.js", "JavaScript", 0, -34, 0, 0, 0, 0, -3, -37
"Total", "-", 124, -1116, -45, -190, -1, -30, -143, -1401
